id,grad_year,"degree","exp_level","career_field"
8914,1977,"","Trades","Experienced (Non-Managerial)"
8915,2013,"","Healthcare","Entry Level"
8916,2010,"High School Diploma","Customer Service","Experienced (Non-Managerial)"
8917,1998,"","Manufacturing and Production","Experienced (Non-Managerial)"
8918,1990,"High School Diploma","Transportation and Distribution","Experienced (Non-Managerial)"
8919,2000,"","Law Enforcement and Security","Experienced (Non-Managerial)"
8920,1984,"Certificate","Healthcare","Experienced (Non-Managerial)"
8921,1981,"High School Diploma","Entertainment and Media","Experienced (Non-Managerial)"
8922,0,"Bachelor of Science","Accounting and Finance","Experienced (Non-Managerial)"
8923,2015,"","Veterinary","Student"
8924,2014,"BBA","Accounting and Finance","Student"
8925,0,"Associate of Science","Customer Service","Experienced (Non-Managerial)"
8926,2011,"Bachelor of Science","Administrative Support","Experienced (Non-Managerial)"
8927,0,"","Marketing, Advertising and PR","Manager"
8928,2013,"High School Diploma","Retail","Entry Level"
8929,1968,"High School Diploma","0","0"
8930,0,"0","0","Student"
8931,0,"","Installation and Maintenance","Experienced (Non-Managerial)"
8932,2013,"BBA","Healthcare","Experienced (Non-Managerial)"
8933,2008,"","Beauty and Spa","Experienced (Non-Managerial)"
8934,2008,"High School Diploma","Trades","Experienced (Non-Managerial)"
8935,2013,"Master of Arts","Social Sciences","Experienced (Non-Managerial)"
8936,1992,"Bachelor of Arts","Community and Public Service","Experienced (Non-Managerial)"
8937,2011,"Bachelor of Arts","Retail","Entry Level"
8938,1997,"Associate of Science","Nursing","Experienced (Non-Managerial)"
8939,0,"0","0","Student"
8940,2014,"","0","Student"
8941,0,"Associates Degree","Business","Experienced (Non-Managerial)"
8942,0,"","Installation and Maintenance","Experienced (Non-Managerial)"
8943,0,"","Healthcare","Experienced (Non-Managerial)"
8944,2013,"Cerificate","Customer Service","Experienced (Non-Managerial)"
8945,1981,"High School Diploma","Food and Beverage","Experienced (Non-Managerial)"
8946,2014,"Bachelor of Arts","Government","Student"
8947,0,"High School Diploma","Trades","Experienced (Non-Managerial)"
8948,2003,"Associates Degree","Administrative Support","Experienced (Non-Managerial)"
8949,2003,"High School Diploma","Installation and Maintenance","Experienced (Non-Managerial)"
8950,1993,"GED","Nursing","Experienced (Non-Managerial)"
8951,0,"0","0","Experienced (Non-Managerial)"
8952,2013,"","0","Entry Level"
8953,2008,"Bachelor of Science","Sales","Student"
8954,2014,"Bachelor's Degree ","Food and Beverage","Student"
8955,1991,"A-Levels Mathematics English Commerce Core Science Geography Bible Knowledge ","Construction","Manager"
8956,2004,"High School Diploma","0","Entry Level"
8957,0,"High School Diploma","Customer Service","Experienced (Non-Managerial)"
8958,1999,"Certificate","Healthcare","Experienced (Non-Managerial)"
8959,2003,"Certification in Facility Maintenance","Food and Beverage","Experienced (Non-Managerial)"
8960,0,"0","Food and Beverage","Entry Level"
8961,0,"","Administrative Support","Student"
8962,0,"0","Green Jobs","Executive"
8963,2012,"Bachelor of Science","Architecture","Student"
8964,0,"0","0","Manager"
8965,0,"0","Trades","Manager"
8966,2007,"Cosmetolgy license","Beauty and Spa","Experienced (Non-Managerial)"
8967,1978,"High School Diploma","Travel and Hospitality","Executive"
8968,1996,"Bachelor of Science","Nursing","Experienced (Non-Managerial)"
8969,0,"Master of Business Administration","Banking and Financial Services","Manager"
8970,0,"","Sales","Experienced (Non-Managerial)"
8971,2007,"Leasing Basics","Real Estate","Entry Level"
8972,2,"General Academic Studies Degree","Management","Experienced (Non-Managerial)"
8973,1992,"RD  LDN","Healthcare","Experienced (Non-Managerial)"
8974,0,"","Healthcare","Experienced (Non-Managerial)"
8975,0,"currently attending","Customer Service","Experienced (Non-Managerial)"
8976,7,"GED","0","0"
8977,0,"0","Food and Beverage","Manager"
8978,2007,"Certiificate Course","Administrative Support","Experienced (Non-Managerial)"
8979,2015,"BBA","Customer Service","Entry Level"
8980,0,"0","Business","Student"
8981,2013,"Associate of Science","Accounting and Finance","Entry Level"
8982,0,"","Healthcare","Experienced (Non-Managerial)"
8983,0,"0","Sales","Manager"
8984,2013,"Bachelor of Science","Legal","Entry Level"
8985,1984,"","Sales","Experienced (Non-Managerial)"
8986,2017,"Bachelor of Science","Law Enforcement and Security","Experienced (Non-Managerial)"
8987,2011,"","Sales","Experienced (Non-Managerial)"
8988,0,"","Pharmacy","Student"
8989,1989,"Finance And Insurance","Administrative Support","Executive"
8990,2014,"Associate of Science","Pharmacy","Experienced (Non-Managerial)"
8991,1994,"Bachelor of Science","Banking and Financial Services","Experienced (Non-Managerial)"
8992,2012,"High School Diploma","Food and Beverage","Student"
8993,1989,"High School Diploma","Customer Service","Experienced (Non-Managerial)"
8994,1993,"High School Diploma","Manufacturing and Production","Experienced (Non-Managerial)"
8995,0,"0","Healthcare","Experienced (Non-Managerial)"
8996,1980,"GCSE","Construction","Experienced (Non-Managerial)"
8997,2009,"High School Diploma","Childcare","Experienced (Non-Managerial)"
8998,1997,"GCSE","Childcare","0"
8999,0,"0","Food and Beverage","Experienced (Non-Managerial)"
9000,0,"0","0","Entry Level"
9001,2004,"Diploma","Construction","Experienced (Non-Managerial)"
9002,0,"0","Food and Beverage","Manager"
9003,1983,"High School Diploma","Management","Manager"
9004,2009,"High School Diploma","Food and Beverage","Experienced (Non-Managerial)"
9005,0,"","Human Resources","Manager"
9006,1963,"High School Diploma","Food and Beverage","Manager"
9007,2009,"High School Diploma","Customer Service","Entry Level"
9008,1986,"B.S","Administrative Support","Experienced (Non-Managerial)"
9009,2014,"College Diploma","0","0"
9010,2015,"Bachelor of Arts","Entertainment and Media","Student"
9011,1995,"High School Diploma","Trades","Experienced (Non-Managerial)"
9012,0,"","Military","Experienced (Non-Managerial)"
9013,2013,"","Nursing","Student"
9014,1980,"High School Diploma","Manufacturing and Production","Experienced (Non-Managerial)"
9015,2013,"M.A. Degree","Marketing, Advertising and PR","Entry Level"
9016,0,"","Banking and Financial Services","Experienced (Non-Managerial)"
9017,2001,"High School Diploma","Psychology","Student"
9018,2006,"Associate of Science","Nursing","Experienced (Non-Managerial)"
9019,0,"0","Education and Training","Experienced (Non-Managerial)"
9020,73,"","Food and Beverage","Manager"
9021,0,"0","0","Experienced (Non-Managerial)"
9022,1987,"High School Diploma","Military","Manager"
9023,2005,"Master of Arts","Psychology","Experienced (Non-Managerial)"
9024,2007,"3 Years of Study","Banking and Financial Services","Experienced (Non-Managerial)"
9025,0,"0","0","0"
9026,2000,"","Education and Training","Experienced (Non-Managerial)"
9027,1991,"","Administrative Support","Entry Level"
9028,1985,"Bachelor of Science","Military","Experienced (Non-Managerial)"
9029,1990,"High School Diploma","Trades","Entry Level"
9030,0,"","Sales","Experienced (Non-Managerial)"
9031,0,"0","Dental","Experienced (Non-Managerial)"
9032,2006,"CNA Certificate","Healthcare","Experienced (Non-Managerial)"
9033,2012,"High School Diploma","Veterinary","Student"
9034,0,"0","Psychology","Experienced (Non-Managerial)"
9035,2016,"","0","Student"
9036,0,"","Real Estate","Experienced (Non-Managerial)"
9037,1999,"Associate of Arts","Education and Training","Executive"
9038,2008,"High School Diploma","Customer Service","Student"
9039,2014,"Associate of Science","0","Student"
9040,1993,"High School Diploma","Construction","Experienced (Non-Managerial)"
9041,2003,"High School Diploma","Transportation and Distribution","Experienced (Non-Managerial)"
9042,1999,"BA","Banking and Financial Services","Manager"
9043,1976,"High School Diploma","Law Enforcement and Security","Experienced (Non-Managerial)"
9044,0,"0","Management","Manager"
9045,0,"Bachelor of Arts Degree","0","Experienced (Non-Managerial)"
9046,2014,"High School Diploma","Art, Fashion and Design","Student"
9047,2005,"High School Diploma","Construction","Entry Level"
9048,2013,"Masters of Business Administration","Human Resources","Manager"
9049,0,"","Transportation and Distribution","Executive"
9050,2012,"A-Levels","Legal","Student"
9051,2012,"High School Diploma","Installation and Maintenance","Entry Level"
9052,2011,"GED","Business","Entry Level"
9053,0,"0","Manufacturing and Production","Experienced (Non-Managerial)"
9054,2002,"High School Diploma","Administrative Support","Experienced (Non-Managerial)"
9055,1964,"High School Diploma","Business","Experienced (Non-Managerial)"
9056,1979,"High School Diploma","Healthcare","Entry Level"
9057,0,"","Healthcare","Experienced (Non-Managerial)"
9058,2004,"High School Diploma","0","Entry Level"
9059,2007,"High School Diploma","Military","Experienced (Non-Managerial)"
9060,1991,"Certificate of compleation","Trades","Experienced (Non-Managerial)"
9061,2011,"Certificate","Education and Training","Experienced (Non-Managerial)"
9062,0,"Bachelor of Science","Administrative Support","Experienced (Non-Managerial)"
9063,1995,"High School Diploma","0","Entry Level"
9064,2012,"","Healthcare","Experienced (Non-Managerial)"
9065,0,"","Food and Beverage","Experienced (Non-Managerial)"
9066,2006,"","Retail","Experienced (Non-Managerial)"
9067,1971,"High School Diploma","Banking and Financial Services","Experienced (Non-Managerial)"
9068,2002,"Bachelor of Law","Administrative Support","Experienced (Non-Managerial)"
9069,1975,"High School Diploma","Healthcare","Manager"
9070,2006,"","Construction","Experienced (Non-Managerial)"
9071,2010,"professional credential recognition ","Retail","Entry Level"
9072,2012,"Bachelor of Liberal Arts and Professional Studies","Business","Manager"
9073,2006,"","Construction","Experienced (Non-Managerial)"
9074,1983,"BACHELOR OF SCIENCE","0","0"
9075,0,"In Progess","Administrative Support","Experienced (Non-Managerial)"
9076,0,"Associates in Arts & Science Opt II","0","Experienced (Non-Managerial)"
9077,2010,"GED","Engineering","Entry Level"
9078,2010,"High School Diploma","Food and Beverage","Experienced (Non-Managerial)"
9079,2012,"Bachelor of Science","Healthcare","Executive"
9080,0,"GED","Manufacturing and Production","Experienced (Non-Managerial)"
9081,0,"","0","0"
9082,0,"Bachelor","Education and Training","Experienced (Non-Managerial)"
9083,0,"","0","Experienced (Non-Managerial)"
9084,1988,"Associate of Applied Science","Nursing","Experienced (Non-Managerial)"
9085,0,"High School Diploma","Healthcare","Manager"
9086,1994,"GED","Trades","Manager"
9087,2014,"currently attending","Healthcare","Entry Level"
9088,2004,"Associate of Science","Healthcare","Executive"
9089,2007,"High School Diploma","Entertainment and Media","Experienced (Non-Managerial)"
9090,0,"","Retail","Manager"
9091,0,"Associate of Arts","Food and Beverage","Experienced (Non-Managerial)"
9092,1999,"","Government","Experienced (Non-Managerial)"
9093,2005,"Bachelor of Science","Manufacturing and Production","Manager"
9094,2001,"MSW","Community and Public Service","Experienced (Non-Managerial)"
9095,2010,"High School Diploma","Sales","0"
9096,1994,"HNC","Engineering","Experienced (Non-Managerial)"
9097,0,"0","0","Experienced (Non-Managerial)"
9098,0,"0","0","0"
9099,0,"Bachlors","Manufacturing and Production","Manager"
9100,1999,"20 Units childhood develpopment","Education and Training","Experienced (Non-Managerial)"
9101,2012,"Bachelor of Science","Nursing","Entry Level"
9102,2013,"Computer Skills","Childcare","Manager"
9103,0,"0","Childcare","Manager"
9104,2015,"Bachelor of Science","Business","Student"
9105,0,"0","0","Experienced (Non-Managerial)"
9106,1995,"BACHELOR OF SCIENCE","Nursing","Experienced (Non-Managerial)"
9107,2001,"LSSN","Customer Service","Manager"
9108,2009,"Select One","Personal Services","Experienced (Non-Managerial)"
9109,2011,"Bachelor of Arts in International Business Administration","Business","Entry Level"
9110,1993,"Bachelor of Science","Management","Executive"
9111,1992,"Bachelor of Science","Nursing","Experienced (Non-Managerial)"
9112,0,"","Insurance","Experienced (Non-Managerial)"
9113,1989,"GED","Healthcare","Experienced (Non-Managerial)"
9114,1982,"High School Diploma","Community and Public Service","Executive"
9115,2015,"Bachelor of Arts","0","Student"
9116,2013,"Bachelor of Science","Accounting and Finance","Student"
9117,2011,"High School Diploma","Installation and Maintenance","Student"
9118,1994,"Diploma","Administrative Support","Experienced (Non-Managerial)"
9119,2014,"Bachelor of Arts","Community and Public Service","Entry Level"
9120,2010,"GED","Food and Beverage","Experienced (Non-Managerial)"
9121,0,"High School Diploma","0","Experienced (Non-Managerial)"
9122,2011,"Regetns Diploma","Business","Student"
9123,2006,"Certified Nursing Assistant","Customer Service","Entry Level"
9124,0,"","Administrative Support","Entry Level"
9125,0,"0","Manufacturing and Production","Experienced (Non-Managerial)"
9126,0,"High School Diploma","Nursing","Entry Level"
9127,2009,"Bachelor of Science","Veterinary","Experienced (Non-Managerial)"
9128,2015,"Associate of Applied Science","Childcare","Entry Level"
9129,0,"0","Administrative Support","Experienced (Non-Managerial)"
9130,1977,"","Nursing","Experienced (Non-Managerial)"
9131,0,"0","0","Entry Level"
9132,0,"0","0","Manager"
9133,2007,"High School Diploma","Installation and Maintenance","Entry Level"
9134,0,"","Retail","Experienced (Non-Managerial)"
9135,2002,"BBA","Banking and Financial Services","Experienced (Non-Managerial)"
9136,2012,"High School Diploma","Retail","Entry Level"
9137,0,"","Healthcare","Experienced (Non-Managerial)"
9138,2015,"Associate of Arts","Food and Beverage","Entry Level"
9139,2015,"Associate of Science","Science","Student"
9140,0,"","Administrative Support","Experienced (Non-Managerial)"
9141,2013,"100 ton masters","Transportation and Distribution","Experienced (Non-Managerial)"
9142,2011,"Associate of Science","Management","Experienced (Non-Managerial)"
9143,2013,"Associate of Arts","Accounting and Finance","Entry Level"
9144,2006,"High School Diploma","Law Enforcement and Security","Entry Level"
9145,2009,"High School Diploma","Healthcare","Student"
9146,1995,"High School Diploma","Customer Service","Entry Level"
9147,2013,"High School Diploma","Customer Service","Experienced (Non-Managerial)"
9148,2017,"In Progress","Law Enforcement and Security","Student"
9149,2011,"Associate of Arts","Healthcare","Experienced (Non-Managerial)"
9150,0,"0985360)          Occupational Safety and Health Administration  Maintenance Technician Course          Schubert VMS Robotic Maintenance Course  Thomas Nelson Workforce developement          Quality Assurance Maintenance Course","Business","Experienced (Non-Managerial)"
9151,2012,"High School Diploma","0","0"
9152,2000,"Level 1","Trades","Experienced (Non-Managerial)"
9153,2008,"Associate of Applied Science","Nursing","Experienced (Non-Managerial)"
9154,1990,"High School Diploma","0","0"
9155,1994,"BSN","Sales","Experienced (Non-Managerial)"
9156,2004,"High School Diploma","Customer Service","Experienced (Non-Managerial)"
9157,0,"0","0","0"
9158,0,"0","0","0"
9159,1992,"Bachelor of Science","Banking and Financial Services","Experienced (Non-Managerial)"
9160,2010,"PROJECTS   Social Media Marketing Campaign for Brynnly Naturals 2013 Statistical Analysis of Markey Survey for Brynnly Naturals 2013  Public Relations Project for Kelly Autism Program","Sales","Entry Level"
9161,2002,"Bachelor of Arts","Law Enforcement and Security","Experienced (Non-Managerial)"
9162,2010,"High School Diploma","Insurance","0"
9163,2011,"B.Sc","Food and Beverage","Experienced (Non-Managerial)"
9164,0,"0","0","0"
9165,2012,"GED","Manufacturing and Production","Experienced (Non-Managerial)"
9166,2012,"Associate of Applied Science","Military","Student"
9167,2011,"Level one","Food and Beverage","Student"
9168,2012,"High School Diploma","Business","Student"
9169,1975,"Bachelor of Science","Transportation and Distribution","Manager"
9170,2010,"High School Diploma","Retail","Entry Level"
9171,2015,"Bachelor of Science","Computers and Technology","Student"
9172,1973,"High School Diploma","Trades","Experienced (Non-Managerial)"
9173,0,"Bachelor of Science","Food and Beverage","Manager"
9174,0,"","Healthcare","Student"
9175,0,"","Healthcare","Executive"
9176,2009,"High School Diploma","Customer Service","Experienced (Non-Managerial)"
9177,2013,"Certificate","Administrative Support","Entry Level"
9178,1986,"GED","Trades","Experienced (Non-Managerial)"
9179,1964,"High School Diploma","Sales","Manager"
9180,1986,"","Manufacturing and Production","Experienced (Non-Managerial)"
9181,1998,"Master of Arts","Entertainment and Media","Executive"
9182,2011,"High School Diploma","Community and Public Service","Experienced (Non-Managerial)"
9183,1989,"Bachelors of Engineering","Manufacturing and Production","Manager"
9184,2009,"ESOL LEVEL 2","Transportation and Distribution","Experienced (Non-Managerial)"
9185,2006,"M.S","Psychology","Experienced (Non-Managerial)"
9186,1983,"High School Diploma","Management","Manager"
9187,0,"","Marketing, Advertising and PR","Student"
9188,0,"0","Food and Beverage","Student"
9189,2011,"GED","Construction","Entry Level"
9190,0,"0","0","Experienced (Non-Managerial)"
9191,0,"","Healthcare","Experienced (Non-Managerial)"
9192,0,"0","0","Entry Level"
9193,0,"","Real Estate","Manager"
9194,1980,"High School Diploma","Customer Service","Experienced (Non-Managerial)"
9195,2013,"BSc","Science","Student"
9196,1988,"Administrative Secretary  Degree","Administrative Support","Experienced (Non-Managerial)"
9197,12,"High School Diploma","Construction","Experienced (Non-Managerial)"
9198,12,"High School Diploma","Retail","Manager"
9199,2011,"","Business","Student"
9200,2015,"","0","Student"
9201,2013,"High School Diploma","Sales","Student"
9202,2014,"","Retail","Student"
9203,0,"","Food and Beverage","Entry Level"
9204,0,"0","0","Experienced (Non-Managerial)"
9205,0,"","0","Student"
9206,2012,"High School Diploma","0","Entry Level"
9207,0,"","Manufacturing and Production","Experienced (Non-Managerial)"
9208,0,"Ph.D.","Science","Executive"
9209,2016,"Bachelor of Science","Healthcare","Entry Level"
9210,2004,"High School Diploma","Community and Public Service","Experienced (Non-Managerial)"
9211,2012,"","Food and Beverage","Experienced (Non-Managerial)"
9212,1989,"Associate of Science","Accounting and Finance","Manager"
9213,2014,"Bachelor of Science","Nursing","Experienced (Non-Managerial)"
9214,1998,"High School Diploma","Transportation and Distribution","Manager"
9215,2014,"High School Diploma","Transportation and Distribution","Student"
9216,2014,"Bachelor of Education","0","Student"
9217,1994,"Associate of Science","Sales","Experienced (Non-Managerial)"
9218,2010,"Bachelor of Arts","Customer Service","Experienced (Non-Managerial)"
9219,2010,"Advanced Regents Diploma","Legal","Entry Level"
9220,0,"0","0","Experienced (Non-Managerial)"
9221,10,"GED","Travel and Hospitality","Experienced (Non-Managerial)"
9222,2014,"","Food and Beverage","Student"
9223,0,"0","Administrative Support","Experienced (Non-Managerial)"
9224,2013,"GED","Management","Experienced (Non-Managerial)"
9225,0,"MSW","Healthcare","Experienced (Non-Managerial)"
9226,1996,"Associate of Science","Customer Service","Experienced (Non-Managerial)"
9227,1991,"A-Levels","Food and Beverage","Experienced (Non-Managerial)"
9228,2009,"High School Diploma","Customer Service","Experienced (Non-Managerial)"
9229,2016,"Bachelor of Science","Transportation and Distribution","Entry Level"
9230,0,"","Nursing","Manager"
9231,2009,"High School Diploma","Food and Beverage","Experienced (Non-Managerial)"
9232,2008,"","Engineering","Experienced (Non-Managerial)"
9233,2013,"","Healthcare","Student"
9234,1991,"N/A","Food and Beverage","Experienced (Non-Managerial)"
9235,0,"0","0","Student"
9236,1998,"CMA","Healthcare","Experienced (Non-Managerial)"
9237,2010,"Bachelor of Business (Accountancy)","Accounting and Finance","Entry Level"
9238,0,"0","0","Manager"
9239,2015,"Bachelor of Science","Nursing","Student"
9240,2013,"Diploma","Healthcare","Experienced (Non-Managerial)"
9241,2015,"Bachelors in Elementary Education","Customer Service","Manager"
9242,1990,"High School Diploma","Healthcare","Experienced (Non-Managerial)"
9243,2009,"Associate of Science","Healthcare","Entry Level"
9244,1979,"","Manufacturing and Production","Experienced (Non-Managerial)"
9245,0,"0","Retail","Experienced (Non-Managerial)"
9246,0,"High School Diploma","Performing Arts","Experienced (Non-Managerial)"
9247,0,"","Customer Service","Experienced (Non-Managerial)"
9248,2011,"High School Diploma","Computers and Technology","Student"
9249,1987,"GED","Trades","Experienced (Non-Managerial)"
9250,2001,"Select One","Dental","Manager"
9251,2010,"High School Diploma","Beauty and Spa","Student"
9252,1987,"Associate of Arts","Travel and Hospitality","Experienced (Non-Managerial)"
9253,2001,"","Healthcare","Entry Level"
9254,0,"0","Computers and Technology","Entry Level"
9255,2015,"high school","Food and Beverage","Student"
9256,2012,"GED","Installation and Maintenance","Student"
9257,2009,"High School Diploma","Nursing","Student"
9258,0,"degree","Accounting and Finance","Student"
9259,0,"","Marketing, Advertising and PR","Executive"
9260,1969,"High School Diploma","Art, Fashion and Design","Experienced (Non-Managerial)"
9261,1986,"High School Diploma","Manufacturing and Production","Experienced (Non-Managerial)"
9262,2013,"Diploma","Engineering","Experienced (Non-Managerial)"
9263,2000,"High School Diploma","Childcare","Experienced (Non-Managerial)"
9264,0,"0","0","0"
9265,2004,"","Retail","Experienced (Non-Managerial)"
9266,2013,"Nursing","Healthcare","Student"
9267,0,"A.A.S","Healthcare","Manager"
9268,2014,"High School Diploma","0","Student"
9269,0,"High School Diploma","Law Enforcement and Security","Experienced (Non-Managerial)"
9270,2013,"High School Diploma","Veterinary","0"
9271,0,"0","Retail","Experienced (Non-Managerial)"
9272,1998,"High School Diploma","Social Sciences","Student"
9273,1997,"MBA","Banking and Financial Services","Manager"
9274,2014,"High School Diploma","Food and Beverage","Student"
9275,2010,"Bachelor of Arts","Entertainment and Media","Student"
9276,2008,"BBA","Military","Manager"
9277,2004,"High School Diploma","Sales","Executive"
9278,2000,"High School Diploma","Community and Public Service","Entry Level"
9279,2007,"GED","Retail","Experienced (Non-Managerial)"
9280,0,"","Art, Fashion and Design","Experienced (Non-Managerial)"
9281,1989,"Bachelor of Arts","Sports","Manager"
9282,2001,"Associate of Arts","Administrative Support","Manager"
9283,2010,"A-Levels","Customer Service","Experienced (Non-Managerial)"
9284,1989,"High School Diploma","Sales","Entry Level"
9285,0,"0","0","Experienced (Non-Managerial)"
9286,2015,"Associate of Applied Science","Nursing","Experienced (Non-Managerial)"
9287,2001,"Associate of Science","Healthcare","Experienced (Non-Managerial)"
9288,2002,"Bachelor of Science","Computers and Technology","Manager"
9289,0,"","Marketing, Advertising and PR","Student"
9290,2012,"Bachelor of Arts","Human Resources","Entry Level"
9291,1988,"Bachelor of Science","Customer Service","Experienced (Non-Managerial)"
9292,2007,"Associate of Science","Administrative Support","Experienced (Non-Managerial)"
9293,1997,"High School Diploma","Administrative Support","Experienced (Non-Managerial)"
9294,2006,"Certificate","Customer Service","Experienced (Non-Managerial)"
9295,2013,"General Academic Studies Degree","Marketing, Advertising and PR","Student"
9296,0,"Bachelor of Science","0","Student"
9297,0,"Bachelor of Science","0","0"
9298,0,"0","Management","Executive"
9299,0,"0","Food and Beverage","Experienced (Non-Managerial)"
9300,0,"0","0","Experienced (Non-Managerial)"
9301,1977,"Bachelor of Science","Healthcare","Experienced (Non-Managerial)"
9302,0,"","Veterinary","Experienced (Non-Managerial)"
9303,2010,"GCSE","Psychology","Student"
9304,1993,"Diploma","Entertainment and Media","Manager"
9305,2011,"Associate of Arts","Business","Experienced (Non-Managerial)"
9306,1996,"A-Levels","Accounting and Finance","Entry Level"
9307,2016,"Bachelor of Science","Sales","Entry Level"
9308,1971,"High School Diploma","Installation and Maintenance","Experienced (Non-Managerial)"
9309,2012,"High School Diploma","Military","Student"
9310,0,"0","0","Manager"
9311,0,"High School Diploma","Manufacturing and Production","Experienced (Non-Managerial)"
9312,2005,"GED","Customer Service","Entry Level"
9313,2013,"Level 3 Diploma","Childcare","Experienced (Non-Managerial)"
9314,2012,"Associate Degree of Nursing","Nursing","Entry Level"
9315,1990,"High School Diploma","Banking and Financial Services","Experienced (Non-Managerial)"
9316,2016,"Associate of Arts","Business","Student"
9317,2008,"High School Diploma","Government","Entry Level"
9318,0,"Continuing Education, Bachelor of Science","Sales","Experienced (Non-Managerial)"
9319,0,"Bachelors of Arts","Education and Training","Experienced (Non-Managerial)"
9320,2004,"Culinery Arts","Customer Service","Experienced (Non-Managerial)"
9321,0,"0","Childcare","Experienced (Non-Managerial)"
9322,2009,"Bachelor of Arts","Natural Resources and Agriculture","Experienced (Non-Managerial)"
9323,2014,"Bachelor of Science","Business","Student"
9324,2015,"High School Diploma","0","Student"
9325,0,"High School Diploma","Healthcare","Experienced (Non-Managerial)"
9326,2011,"Bachelor of Arts","Psychology","Entry Level"
9327,0,"","0","0"
9328,1998,"High School Diploma","Food and Beverage","Manager"
9329,1976,"","Banking and Financial Services","Entry Level"
9330,2014,"Associates in Human Services","Customer Service","Experienced (Non-Managerial)"
9331,0,"","Transportation and Distribution","Experienced (Non-Managerial)"
9332,2017,"Bachelor of Science","Healthcare","Experienced (Non-Managerial)"
9333,2013,"Master of Arts","Education and Training","Experienced (Non-Managerial)"
9334,2013,"Business Administration","Real Estate","Entry Level"
9335,0,"","Trades","Experienced (Non-Managerial)"
9336,0,"0","Education and Training","Executive"
9337,2006,"","Healthcare","Student"
9338,2011,"Associate of Science","Entertainment and Media","Experienced (Non-Managerial)"
9339,2013,"High School Diploma","Management","Manager"
9340,2010,"General","Sales","Entry Level"
9341,1993,"High School Diploma","0","Experienced (Non-Managerial)"
9342,0,"Business cert.","0","0"
9343,2011,"High School Diploma","Nursing","Entry Level"
9344,0,"0","Construction","Experienced (Non-Managerial)"
9345,0,"High School Diploma","Administrative Support","Experienced (Non-Managerial)"
9346,0,"0","Healthcare","Student"
9347,2005,"GCSE","Transportation and Distribution","Experienced (Non-Managerial)"
9348,0,"Medical Assistant Program","Telecommunications and Wireless","Experienced (Non-Managerial)"
9349,1986,"Associate of Arts","Trades","Experienced (Non-Managerial)"
9350,2010,"","Customer Service","Experienced (Non-Managerial)"
9351,2003,"GED","Construction","Experienced (Non-Managerial)"
9352,1999,"Diploma ","0","0"
9353,0,"Associate of Science","0","0"
9354,2012,"Diploma","Telecommunications and Wireless","Manager"
9355,0,"0","Construction","Experienced (Non-Managerial)"
9356,0,"0","0","Experienced (Non-Managerial)"
9357,0,"0","Transportation and Distribution","Experienced (Non-Managerial)"
9358,2013,"License ","Beauty and Spa","Entry Level"
9359,2009,"Certificate","Travel and Hospitality","Experienced (Non-Managerial)"
9360,2008,"High School Diploma","Trades","Experienced (Non-Managerial)"
9361,2010,"Associate of Arts","Customer Service","Experienced (Non-Managerial)"
9362,2005,"GED","Healthcare","Experienced (Non-Managerial)"
9363,0,"In Progress ","Healthcare","Experienced (Non-Managerial)"
9364,2015,"Bachelor","Construction","Student"
9365,2008,"LPN","Nursing","Experienced (Non-Managerial)"
9366,1999,"Master of Science","Management","Manager"
9367,0,"","Healthcare","Experienced (Non-Managerial)"
9368,1989,"Masters in Taxation","Accounting and Finance","Executive"
9369,0,"","Administrative Support","Experienced (Non-Managerial)"
9370,1989,"Certificate of Completion","Construction","Manager"
9371,0,"0","0","Experienced (Non-Managerial)"
9372,2011,"High School Diploma","Retail","Student"
9373,1985,"Associate of Applied Science","Healthcare","Experienced (Non-Managerial)"
9374,0,"0","Retail","Experienced (Non-Managerial)"
9375,1994,"cosmetology license","Food and Beverage","Student"
9376,2013,"Certificate II in Tourism          Flight Centre Travel Academy Galileo computer Reservation system Quicktrip I-Create Client ","Travel and Hospitality","Entry Level"
9377,0,"","Marketing, Advertising and PR","Experienced (Non-Managerial)"
9378,0,"Bachelor of Arts","Art, Fashion and Design","Entry Level"
9379,0,"","Administrative Support","Manager"
9380,1987,"Associate of Science","Nursing","Experienced (Non-Managerial)"
9381,0,"0","Art, Fashion and Design","Manager"
9382,1998,"High School Diploma","Customer Service","Experienced (Non-Managerial)"
9383,1981,"pass","Retail","Manager"
9384,0,"0","Education and Training","Experienced (Non-Managerial)"
9385,0,"0","Fitness and Recreation","Entry Level"
9386,1999,"1 year certificate","Food and Beverage","Experienced (Non-Managerial)"
9387,1998,"High School Diploma","Retail","Student"
9388,0,"","Law Enforcement and Security","Experienced (Non-Managerial)"
9389,0,"0","Law Enforcement and Security","Experienced (Non-Managerial)"
9390,0,"0","Legal","Student"
9391,2008,"","Trades","Experienced (Non-Managerial)"
9392,2013,"Bachelor of Science","Travel and Hospitality","Experienced (Non-Managerial)"
9393,0,"Master of Science","Administrative Support","Experienced (Non-Managerial)"
9394,1996,"GED","Transportation and Distribution","Experienced (Non-Managerial)"
9395,2012,"High School Diploma","Customer Service","Entry Level"
9396,2004,"","0","0"
9397,0,"0","Customer Service","Experienced (Non-Managerial)"
9398,0,"High School Diploma","Installation and Maintenance","Experienced (Non-Managerial)"
9399,2016,"High School Diploma","Food and Beverage","Manager"
9400,2016,"Bachelor of Arts","Accounting and Finance","Student"
